Ano,Mes,Dia,Evento,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2012,8,25,Gol,0,0,Palmeiras,Brasileirão,Santos,1-2,Vitória
2012,8,22,Apenas Participação,0,0,Universidad de Chile,Recopa Sul-Americana,Santos,0-0,Empate
2012,8,19,Assistência,1,0,Corinthians,Brasileirão,Santos,3-2,Vitória
2012,8,19,Assistência,1,0,Corinthians,Brasileirão,Santos,3-2,Vitória
2012,8,19,Cartão Amarelo,1,0,Corinthians,Brasileirão,Santos,3-2,Vitória
2012,8,16,Gol,0,0,Figueirense,Brasileirão,Santos,1-3,Vitória
2012,8,16,Assistência,0,0,Figueirense,Brasileirão,Santos,1-3,Vitória
2012,8,15,Assistência,0,0,Suécia,Amistosos da Seleção,Brasil,0-3,Vitória
2012,8,11,Apenas Participação,0,0,México,Jogos Olímpicos,Brasil,1-2,Vitória
2012,8,7,Apenas Participação,0,0,Coreia do Sul,Jogos Olímpicos,Brasil,0-3,Vitória
