Ano,Mes,Dia,Ação,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2016,05,04,Nenhuma,0,0,Manchester City,Champions League,Real Madrid,1-0,Vitória
2016,04,20,Nenhuma,0,0,Villarreal,La Liga (Espanha),Real Madrid,3-0,Vitória
2016,04,16,1 Gol(s),0,0,Getafe,La Liga (Espanha),Real Madrid,1-5,Vitória
2016,04,12,3 Gol(s),1,0,Wolfsburg,Champions League,Real Madrid,3-0,Vitória
2016,04,09,1 Gol(s) / 2 Assist.,0,0,Eibar,La Liga (Espanha),Real Madrid,4-0,Vitória
2016,04,06,Nenhuma,0,0,Wolfsburg,Champions League,Real Madrid,2-0,Derrota
2016,04,02,1 Gol(s),0,0,Barcelona,La Liga (Espanha),Real Madrid,1-2,Vitória
2016,03,29,1 Gol(s),0,0,Bélgica,Amistosos da Seleção,Portugal,2-1,Vitória
2016,03,25,Nenhuma,0,0,Bulgária,Amistosos da Seleção,Portugal,0-1,Derrota
2016,03,20,1 Gol(s),0,0,Sevilla,La Liga (Espanha),Real Madrid,4-0,Vitória
2016,03,13,Nenhuma,0,0,Las Palmas,La Liga (Espanha),Real Madrid,1-2,Vitória
2016,03,08,1 Gol(s) / 1 Assist.,0,0,Roma,Champions League,Real Madrid,2-0,Vitória
2016,03,05,4 Gol(s),0,0,Celta de Vigo,La Liga (Espanha),Real Madrid,7-1,Vitória
2016,03,02,1 Gol(s) / 1 Assist.,0,0,Levante,La Liga (Espanha),Real Madrid,1-3,Vitória
2016,02,27,Nenhuma,0,0,Atlético de Madrid,La Liga (Espanha),Real Madrid,0-1,Derrota
2016,02,21,1 Gol(s),0,0,Málaga,La Liga (Espanha),Real Madrid,1-1,Empate
2016,02,17,1 Gol(s),0,0,Roma,Champions League,Real Madrid,0-2,Vitória
2016,02,13,2 Gol(s) / 1 Assist.,0,0,Athletic Bilbao,La Liga (Espanha),Real Madrid,4-2,Vitória
2016,02,07,Nenhuma,0,0,Granada,La Liga (Espanha),Real Madrid,1-2,Vitória
2016,01,31,3 Gol(s),0,0,Espanyol,La Liga (Espanha),Real Madrid,6-0,Vitória
2016,01,24,Nenhuma,0,0,Real Betis,La Liga (Espanha),Real Madrid,1-1,Empate
2016,01,17,2 Gol(s),0,0,Sporting Gijón,La Liga (Espanha),Real Madrid,5-1,Vitória
2016,01,09,2 Assist.,0,0,Deportivo,La Liga (Espanha),Real Madrid,5-0,Vitória
2016,01,03,1 Assist.,0,0,Valencia,La Liga (Espanha),Real Madrid,2-2,Empate
2017,12,23,Nenhuma,0,0,Barcelona,La Liga (Espanha),Real Madrid,0-3,Derrota
2017,12,16,1 Gol(s),0,0,Grêmio,Mundial de Clubes,Real Madrid,1-0,Derrota
2017,12,13,1 Gol(s),0,0,Al Jazira,Mundial de Clubes,Real Madrid,1-2,Vitória
2017,12,09,2 Gol(s),0,0,Sevilla,La Liga (Espanha),Real Madrid,5-0,Vitória
2017,12,06,1 Gol(s),0,0,Borussia Dortmund,Champions League,Real Madrid,3-2,Vitória
2017,12,02,Nenhuma,1,0,Athletic Bilbao,La Liga (Espanha),Real Madrid,0-0,Empate
2017,11,25,1 Gol(s),0,0,Málaga,La Liga (Espanha),Real Madrid,3-2,Vitória
2017,11,21,2 Gol(s) / 1 Assist.,0,0,APOEL,Champions League,Real Madrid,0-6,Vitória
2017,11,18,Nenhuma,0,0,Atlético de Madrid,La Liga (Espanha),Real Madrid,0-0,Empate
2017,11,05,1 Assist.,0,0,Las Palmas,La Liga (Espanha),Real Madrid,3-0,Vitória
2017,11,01,1 Gol(s),0,0,Tottenham,Champions League,Real Madrid,3-1,Derrota
2017,10,29,Nenhuma,0,0,Girona,La Liga (Espanha),Real Madrid,2-1,Derrota
2017,10,22,Nenhuma,0,0,Eibar,La Liga (Espanha),Real Madrid,3-0,Vitória
2017,10,17,1 Gol(s),1,0,Tottenham,Champions League,Real Madrid,1-1,Empate
2017,10,14,1 Gol(s),0,0,Getafe,La Liga (Espanha),Real Madrid,1-2,Vitória
2017,10,10,Nenhuma,0,0,Suíça,Eliminatórias da Copa do Mundo,Portugal,2-0,Vitória
2017,10,07,1 Gol(s),0,0,Andorra,Eliminatórias da Copa do Mundo,Portugal,0-2,Vitória
2017,10,01,1 Assist.,0,0,Espanyol,La Liga (Espanha),Real Madrid,2-0,Vitória
2017,09,26,2 Gol(s),0,0,Borussia Dortmund,Champions League,Real Madrid,1-3,Vitória
2017,09,23,Nenhuma,0,0,Alavés,La Liga (Espanha),Real Madrid,1-2,Vitória
2017,09,20,Nenhuma,0,0,Real Betis,La Liga (Espanha),Real Madrid,0-1,Derrota
2017,09,13,2 Gol(s),0,0,APOEL,Champions League,Real Madrid,3-0,Vitória
2017,09,03,1 Assist.,1,0,Hungria,Eliminatórias da Copa do Mundo,Portugal,0-1,Vitória
2017,08,31,3 Gol(s) / 1 Assist.,0,0,Ilhas Faroé,Eliminatórias da Copa do Mundo,Portugal,5-1,Vitória
2017,08,13,1 Gol(s),1,1,Barcelona,Supercopa da Espanha,Real Madrid,1-3,Vitória
2017,08,08,Nenhuma,0,0,Manchester United,SCE,Real Madrid,2-1,Derrota
2017,06,28,Nenhuma,0,0,Chile,CC,Portugal,0-0(0-3)g.p.,N/A
2017,06,24,1 Gol(s),0,0,Nova Zelândia,CC,Portugal,0-4,Vitória
