AIS;DATA;HORA;MUNICÍPIO;VÍTIMA GÊNERO;VÍTIMA IDADE
AIS Não Identificada (Fortaleza);2009-09-05;17:03:06;Fortaleza;Feminino;13
AIS 06;2009-09-05;21:00:00;Fortaleza;Feminino;9
AIS 21;2009-09-05;22:00:00;Iguatu;Feminino;14
AIS 21;2009-09-06;00:30:00;Iguatu;Feminino;17
AIS 08;2009-09-06;15:00:00;Fortaleza;Feminino;4
AIS 04;2009-09-06;16:30:00;Fortaleza;Masculino;4
AIS 14;2009-09-07;09:00:07;Massapê;Masculino;8
AIS 15;2009-09-07;09:27:22;Canindé;Feminino;13
AIS 03;2009-09-08;10:00:00;Fortaleza;Feminino;12
AIS 19;2009-09-09;16:00:41;Caririaçu;Feminino;7
AIS 06;2009-09-09;16:33:31;Fortaleza;Feminino;14
AIS 06;2009-09-11;09:00:00;Fortaleza;Feminino;13
AIS 07;2009-09-11;19:30:12;Fortaleza;Masculino;16
AIS 14;2009-09-12;10:10:53;Massapê;Feminino;4
AIS 04;2009-09-12;10:30:00;Fortaleza;Feminino;12
AIS 11;2009-09-12;16:00:00;Caucaia;Feminino;14
AIS 06;2009-09-13;08:56:51;Fortaleza;Feminino;14
AIS 24;2009-09-13;09:30:54;Maranguape;Masculino;11
AIS 18;2009-09-13;17:00:28;Russas;Feminino;13
AIS 14;2009-09-13;21:30:54;Coreaú;Feminino;15
AIS 13;2009-09-14;00:00:00;Cascavel;Feminino;17
AIS 11;2009-09-15;09:29:54;Caucaia;Feminino;13
AIS 11;2009-09-15;09:29:54;Caucaia;Feminino;11
AIS 07;2009-09-15;14:11:45;Fortaleza;Feminino;15
AIS 08;2009-09-15;14:45:00;Fortaleza;Feminino;2
AIS 19;2009-09-15;18:00:00;Crato;Feminino;15
AIS 02;2009-09-16;17:05:19;Fortaleza;Feminino;10
AIS 02;2009-09-16;17:05:19;Fortaleza;Feminino;9
AIS 11;2009-09-16;19:00:00;Caucaia;Feminino;13
AIS 19;2009-09-17;19:30:00;Juazeiro do Norte;Feminino;12
AIS 14;2009-09-18;20:00:26;Groaíras;Feminino;7
AIS 24;2009-09-19;14:21:45;Maranguape;Feminino;14
AIS 14;2009-09-19;14:52:56;Mucambo;Feminino;12
AIS 19;2009-09-19;22:00:00;Juazeiro do Norte;Feminino;6
AIS 19;2009-09-19;22:00:00;Juazeiro do Norte;Masculino;5
AIS 08;2009-09-20;09:00:18;Fortaleza;Masculino;9
AIS 08;2009-09-20;09:00:49;Fortaleza;Feminino;7
AIS 11;2009-09-20;12:01:20;Caucaia;Feminino;14
AIS 16;2009-09-20;18:00:20;Crateús;Feminino;4
AIS 18;2009-09-21;09:50:20;Aracati;Feminino;14
AIS 19;2009-09-21;19:10:08;Crato;Feminino;17
AIS 06;2009-09-21;20:52:22;Fortaleza;Feminino;14
AIS 05;2009-09-21;21:00:00;Fortaleza;Feminino;14
AIS 14;2009-09-22;07:41:55;Sobral;Feminino;13
AIS 07;2009-09-22;20:50:01;Fortaleza;Feminino;10
AIS 07;2009-09-22;20:50:01;Fortaleza;Feminino;9
AIS 21;2009-09-23;13:07:47;Iguatu;Feminino;16
AIS 12;2009-09-23;15:00:00;Maracanaú;Feminino;11
AIS 24;2009-09-24;19:53:28;Maranguape;Feminino;16
AIS 18;2009-09-25;09:26:01;Russas;Feminino;12
AIS 19;2009-09-27;18:00:52;Juazeiro do Norte;Feminino;4
AIS 17;2009-09-28;03:00:00;Itarema;Feminino;11
AIS 02;2009-09-28;11:44:27;Fortaleza;Feminino;14
AIS 11;2009-09-29;11:01:00;Caucaia;Feminino;11
AIS 17;2009-09-30;04:00:00;Acaraú;Feminino;16
AIS 17;2009-09-30;04:00:00;Acaraú;Feminino;13
AIS 17;2009-09-30;04:00:00;Acaraú;Feminino;11
AIS 03;2009-09-30;09:12:45;Fortaleza;Feminino;12
AIS 15;2009-09-30;12:09:55;Canindé;Feminino;13
AIS 15;2009-09-30;12:09:55;Canindé;Feminino;13
AIS 08;2009-09-30;14:49:20;Fortaleza;Feminino;11
AIS 17;2009-10-04;17:00:00;Cruz;Feminino;16
AIS 17;2009-10-04;17:00:00;Cruz;Feminino;14
AIS 18;2009-10-05;01:00:12;Icapuí;Feminino;16
AIS 08;2009-10-06;15:00:00;Fortaleza;Masculino;9
AIS 15;2009-10-06;16:45:53;Baturité;Feminino;12
AIS 12;2009-10-07;01:00:00;Maracanaú;Feminino;15
AIS 09;2009-10-07;04:00:00;Fortaleza;Feminino;9
AIS 09;2009-10-07;04:00:00;Fortaleza;Feminino;7
AIS 13;2009-10-07;14:10:22;Cascavel;Feminino;14
AIS 14;2009-10-07;15:00:00;Forquilha;Masculino;15
AIS 11;2009-10-07;16:00:00;Caucaia;Feminino;14
AIS 03;2009-10-07;16:36:24;Fortaleza;Feminino;14
AIS 21;2009-10-08;09:00:00;Iguatu;Feminino;15
AIS 05;2009-10-08;11:57:21;Fortaleza;Feminino;10
AIS 06;2009-10-09;17:21:12;Fortaleza;Masculino;6
AIS 08;2009-10-09;17:57:40;Fortaleza;Feminino;10
AIS 23;2009-10-11;03:00:34;São Gonçalo do Amarante;Feminino;15
